id,date,pk,bk,ctend,bk1,T_Amb_Avg,H_Relat_Avg,R_Neta_Avg,VPD_Avg,Y
TDV 45RDI-PB1,2015-07-03,1.0,1.2671125922352076,336.5,1.0,26.57228472222222,44.90695833333333,162.07794097224098,2.209351736111111,2.0
TDV 45RDI-PB2,2015-07-03,1.0,1.2711313795298338,399.4,1.0,26.57228472222222,44.90695833333333,162.07794097224098,2.209351736111111,0.0
TDV 45RDI-CC1,2015-07-03,1.0,1.271008325740695,307.3,1.0,26.57228472222222,44.90695833333333,162.07794097224098,2.209351736111111,0.0
TDV 45RDI-CC2,2015-07-03,1.0,1.2711323034018278,163.5,1.0,26.57228472222222,44.90695833333333,162.07794097224098,2.209351736111111,1.0
TDV Control1,2015-07-04,-2.0,0.4694890743121505,-64.1,0.0,28.07633333333333,40.649680555555555,155.60582638886805,2.5734100694444444,1.0
TDV Control2,2015-07-04,-2.0,0.4694900279864669,-33.699999999999996,0.0,28.07633333333333,40.649680555555555,155.60582638886805,2.5734100694444444,1.0
TDV 45RDI-PB1,2015-07-04,-1.0,0.6335562961176038,-605.5,0.0,28.07633333333333,40.649680555555555,155.60582638886805,2.5734100694444444,2.0
TDV 45RDI-PB2,2015-07-04,-1.0,0.6355656897649169,-501.5,0.0,28.07633333333333,40.649680555555555,155.60582638886805,2.5734100694444444,1.0
TDV 45RDI-CC1,2015-07-04,-1.0,0.6355041628703475,-612.2,0.0,28.07633333333333,40.649680555555555,155.60582638886805,2.5734100694444444,1.0
TDV 45RDI-CC2,2015-07-04,-1.0,0.6355661517009139,-440.3,0.0,28.07633333333333,40.649680555555555,155.60582638886805,2.5734100694444444,1.0
TDV Control1,2015-07-18,2.0,1.6387005303390083,71.20000000000002,1.0,27.52048611111111,51.24683680555556,151.30596180555554,2.1052621527777777,0.0
TDV Control2,2015-07-18,2.0,1.701200530397216,60.3,1.0,27.52048611111111,51.24683680555556,151.30596180555554,2.1052621527777777,0.0
TDV 45RDI-PB1,2015-07-18,1.0,1.0559468723325267,6.400000000000091,1.0,27.52048611111111,51.24683680555556,151.30596180555554,2.1052621527777777,1.0
TDV 45RDI-PB2,2015-07-18,1.0,1.133827854351182,-96.80000000000018,1.0,27.52048611111111,51.24683680555556,151.30596180555554,2.1052621527777777,2.0
TDV 45RDI-CC1,2015-07-18,1.0,1.1968161318458783,73.20000000000005,1.0,27.52048611111111,51.24683680555556,151.30596180555554,2.1052621527777777,2.0
TDV 45RDI-CC2,2015-07-18,1.0,1.1338278543793763,185.88,1.0,27.52048611111111,51.24683680555556,151.30596180555554,2.1052621527777777,1.0
TDV Control1,2015-07-19,3.0,1.8193502651695042,147.8,1.0,28.76603125,43.62997222222222,155.8991666666875,2.636742361111111,0.0
TDV Control2,2015-07-19,3.0,1.850600265198608,140.0,1.0,28.76603125,43.62997222222222,155.8991666666875,2.636742361111111,0.0
TDV 45RDI-PB1,2015-07-19,-1.0,0.5279734361662634,-402.60000000000014,0.0,28.76603125,43.62997222222222,155.8991666666875,2.636742361111111,2.0
TDV 45RDI-PB2,2015-07-19,-1.0,0.566913927175591,-256.89999999999986,0.0,28.76603125,43.62997222222222,155.8991666666875,2.636742361111111,2.0
TDV 45RDI-CC1,2015-07-19,-1.0,0.5984080659229392,-270.20000000000005,0.0,28.76603125,43.62997222222222,155.8991666666875,2.636742361111111,1.0
TDV 45RDI-CC2,2015-07-19,-1.0,0.5669139271896881,-574.293333,0.0,28.76603125,43.62997222222222,155.8991666666875,2.636742361111111,2.0
TDV Control1,2015-07-20,-1.0,0.9096751325847521,128.3,0.0,29.243114583333334,43.038302083333335,155.30505902779862,2.748622222222222,1.0
TDV Control2,2015-07-20,-1.0,0.925300132599304,139.2,0.0,29.243114583333334,43.038302083333335,155.30505902779862,2.748622222222222,0.0
TDV 45RDI-PB1,2015-07-20,-2.0,0.2639867180831317,-241.89999999999986,0.0,29.243114583333334,43.038302083333335,155.30505902779862,2.748622222222222,2.0
TDV 45RDI-PB2,2015-07-20,-2.0,0.2834569635877955,-112.29999999999995,0.0,29.243114583333334,43.038302083333335,155.30505902779862,2.748622222222222,1.0
TDV 45RDI-CC1,2015-07-20,-2.0,0.2992040329614696,-342.81999999999994,0.0,29.243114583333334,43.038302083333335,155.30505902779862,2.748622222222222,2.0
TDV 45RDI-CC2,2015-07-20,-2.0,0.28345696359484407,-257.4133340000001,0.0,29.243114583333334,43.038302083333335,155.30505902779862,2.748622222222222,1.0
TDV Control1,2015-07-21,-2.0,0.45483756629237604,-16.299999999999983,0.0,28.69556597222222,46.838913194444444,154.87603124999998,2.4794559027777776,1.0
TDV Control2,2015-07-21,-2.0,0.462650066299652,-8.9,0.0,28.69556597222222,46.838913194444444,154.87603124999998,2.4794559027777776,1.0
TDV 45RDI-PB1,2015-07-21,1.0,1.1319933590415658,438.0,1.0,28.69556597222222,46.838913194444444,154.87603124999998,2.4794559027777776,1.0
TDV 45RDI-PB2,2015-07-21,1.0,1.1417284817938977,292.70000000000005,1.0,28.69556597222222,46.838913194444444,154.87603124999998,2.4794559027777776,2.0
TDV 45RDI-CC1,2015-07-21,1.0,1.1496020164807348,193.29999999999995,1.0,28.69556597222222,46.838913194444444,154.87603124999998,2.4794559027777776,2.0
TDV 45RDI-CC2,2015-07-21,1.0,1.141728481797422,472.90666629999987,1.0,28.69556597222222,46.838913194444444,154.87603124999998,2.4794559027777776,2.0
TDV Control1,2015-07-22,-3.0,0.22741878314618802,-20.799999999999983,0.0,29.961385416666666,43.08148958333334,153.9603263888868,2.9183753472222222,1.0
TDV Control2,2015-07-22,1.0,1.231325033149826,-3.0999999999999996,1.0,29.961385416666666,43.08148958333334,153.9603263888868,2.9183753472222222,0.0
TDV 45RDI-PB1,2015-07-22,-1.0,0.5659966795207829,-400.5999999999999,0.0,29.961385416666666,43.08148958333334,153.9603263888868,2.9183753472222222,2.0
TDV 45RDI-PB2,2015-07-22,-1.0,0.5708642408969489,-293.9000000000001,0.0,29.961385416666666,43.08148958333334,153.9603263888868,2.9183753472222222,2.0
TDV 45RDI-CC1,2015-07-22,-1.0,0.5748010082403674,-274.5999999999999,0.0,29.961385416666666,43.08148958333334,153.9603263888868,2.9183753472222222,1.0
